"","Name","Ticker","Sector","name_tick"
"248","Azelio","AZELIO.FI","Oil & Gas","Azelio (AZELIO.FI)"
"249","Bayn Europe","BAYN.FI","Basic Materials","Bayn Europe (BAYN.FI)"
"250","BIMobject","BIM.FI","Technology","BIMobject (BIM.FI)"
"251","Binero Group","BINERO.FI","Technology","Binero Group (BINERO.FI)"
"252","Bioservo Technologies","BIOS.FI","Health Care","Bioservo Technologies (BIOS.FI)"
"253","Biovica International B","BIOVIC-B.FI","Health Care","Biovica International B (BIOVIC-B.FI)"
"254","Bio-Works Technologies","BIOWKS.FI","Health Care","Bio-Works Technologies (BIOWKS.FI)"
"255","Bonäsudden Holding","BONAS.FI","Financials","Bonäsudden Holding (BONAS.FI)"
"256","BBS-Bioactive Bone Substitutes","BONES.FI","Health Care","BBS-Bioactive Bone Substitutes (BONES.FI)"
"257","Botnia Exploration Holding","BOTX.FI","Basic Materials","Botnia Exploration Holding (BOTX.FI)"
"258","Botnia Exploration Holding AB TO1","BOTX-TO1.FI","Basic Materials","Botnia Exploration Holding AB TO1 (BOTX-TO1.FI)"
"259","Bredband2 i Skandinavien","BRE2.FI","Technology","Bredband2 i Skandinavien (BRE2.FI)"
"260","Brighter","BRIG.FI","Health Care","Brighter (BRIG.FI)"
"261","Brighter AB TO 3","BRIG-TO3.FI","Health Care","Brighter AB TO 3 (BRIG-TO3.FI)"
"262","Brighter AB TO 4","BRIG-TO4.FI","Health Care","Brighter AB TO 4 (BRIG-TO4.FI)"
"263","Brighter AB TO 5","BRIG-TO5.FI","Health Care","Brighter AB TO 5 (BRIG-TO5.FI)"
"264","Bublar Group","BUBL.FI","Consumer Goods","Bublar Group (BUBL.FI)"
"265","Bambuser","BUSER.FI","Technology","Bambuser (BUSER.FI)"
"266","Bambuser AB BTA","BUSER-BTA.FI","Technology","Bambuser AB BTA (BUSER-BTA.FI)"
"267","Bambuser AB TR","BUSER-TR.FI","Technology","Bambuser AB TR (BUSER-TR.FI)"
"268","ByggPartner","BYGGP.FI","Industrials","ByggPartner (BYGGP.FI)"
"269","CAG Group","CAG.FI","Technology","CAG Group (CAG.FI)"
"270","Capacent Holding","CAPAC.FI","Industrials","Capacent Holding (CAPAC.FI)"
"271","Cortus Energy","CE.FI","Oil & Gas","Cortus Energy (CE.FI)"
"272","Crunchfish","CFISH.FI","Technology","Crunchfish (CFISH.FI)"
"273","Crunchfish AB BTA","CFISH-BTA.FI","Technology","Crunchfish AB BTA (CFISH-BTA.FI)"
"274","Crunchfish AB TR","CFISH-TR.FI","Technology","Crunchfish AB TR (CFISH-TR.FI)"
"275","ChromoGenics","CHRO.FI","Industrials","ChromoGenics (CHRO.FI)"
"276","Cell Impact B","CI-B.FI","Industrials","Cell Impact B (CI-B.FI)"
"277","Cell Impact AB TO 1 B","CI-TO-1-B.FI","Industrials","Cell Impact AB TO 1 B (CI-TO-1-B.FI)"
"278","Cibus Nordic Real Estate","CIBUS.FI","Financials","Cibus Nordic Real Estate (CIBUS.FI)"
"279","Clavister Holding","CLAV.FI","Technology","Clavister Holding (CLAV.FI)"
"280","Corline Biomedical","CLBIO.FI","Health Care","Corline Biomedical (CLBIO.FI)"
"281","Clemondo Group","CLEM.FI","Basic Materials","Clemondo Group (CLEM.FI)"
"282","Clean Motion","CLEMO.FI","Consumer Goods","Clean Motion (CLEMO.FI)"
"283","Climeon B","CLIME-B.FI","Oil & Gas","Climeon B (CLIME-B.FI)"
"284","CELLINK B","CLNK-B.FI","Health Care","CELLINK B (CLNK-B.FI)"
"285","Clinical Laserthermia Syst. B","CLS-B.FI","Health Care","Clinical Laserthermia Syst. B (CLS-B.FI)"
"286","Scandinavian ChemoTech B","CMOTEC-B.FI","Health Care","Scandinavian ChemoTech B (CMOTEC-B.FI)"
"287","Combigene","COMBI.FI","Health Care","Combigene (COMBI.FI)"
"288","CombiGene AB BTU","COMBI-BTU.FI","Health Care","CombiGene AB BTU (COMBI-BTU.FI)"
"289","Confidence International","CONF.FI","Industrials","Confidence International (CONF.FI)"
"290","Copperstone Resources B","COPP-B.FI","Basic Materials","Copperstone Resources B (COPP-B.FI)"
"291","Curando Nordic","CUR.FI","Health Care","Curando Nordic (CUR.FI)"
"292","Cyber Security 1","CYB1.FI","Technology","Cyber Security 1 (CYB1.FI)"
"293","Cyxone","CYXO.FI","Health Care","Cyxone (CYXO.FI)"
"294","DDM Holding","DDM.FI","Financials","DDM Holding (DDM.FI)"
"295","Delarka Holding","DELARK.FI","Financials","Delarka Holding (DELARK.FI)"
"296","DevPort B","DEVP-B.FI","Industrials","DevPort B (DEVP-B.FI)"
"297","Diadrom Holding","DIAH.FI","Technology","Diadrom Holding (DIAH.FI)"
"298","Dignitana","DIGN.FI","Health Care","Dignitana (DIGN.FI)"
"299","DistIT","DIST.FI","Technology","DistIT (DIST.FI)"
"300","Divio Technologies B","DIVIO-B.FI","Technology","Divio Technologies B (DIVIO-B.FI)"
"301","Diamyd Medical B","DMYD-B.FI","Health Care","Diamyd Medical B (DMYD-B.FI)"
"302","Dome Energy","DOME.FI","Oil & Gas","Dome Energy (DOME.FI)"
"303","Doxa","DOXA.FI","Health Care","Doxa (DOXA.FI)"
"304","Drillcon","DRIL.FI","Basic Materials","Drillcon (DRIL.FI)"
"305","Effnetplattformen","EFFP.FI","Technology","Effnetplattformen (EFFP.FI)"
"306","Enad Global 7","EG7.FI","Consumer Goods","Enad Global 7 (EG7.FI)"
